#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_4	337042	108	N	N	1	left	*	70,1,1,1,3,4
contig_5	1707438	141	N	N	1	left	*	1,1,70,1,1,1,1,70,1,1,1,70,1,1,1,1,1,1,1,1,1,1,1,1,1,70,1,1,1,1,70,1,1,1,5,66
contig_6	1531288	144	N	N	1	left	*	1,1,70,1,1,1,1,1,70,1,1,1,1,70,1,1,1,1,3,6,-57,55,-56,55,-56,55,58
contig_7	2637385	141	N	N	1	none	*	7,-62,-62,-62,-23,19,15,22,21,20,18,19,15,22,21,20
contig_8	1970069	140	N	N	1	none	*	-22,-15,-19,23,62,62,62,62,62,62,62,8,-69
contig_9	878834	139	N	N	1	none	*	-27,9,32,32,32,32
contig_10	1141246	141	N	N	1	none	*	10,19,15,15,22,21,16,19,15,22,16,19,15,22,16,19,15,22,21,20,18,19,15,22,21,20,18,19
contig_11	95113	129	N	N	1	both	*	11
contig_12	3257	0	N	N	1	both	*	12
contig_26	14106	62	N	N	1	both	*	26
contig_28	178695	142	N	N	1	none	*	-27,28,66
contig_29	1721	117	N	N	1	none	*	29
contig_31	559354	139	N	N	1	none	*	31,35,36,39,37,38,35,36,37,37,37,39,37,37,38,40,38,37,37,37,37,38,41,39,42,39,37,43,37,37,37,38,38,37,41,38,37,37,37,38,37,38,39,37,51,37,38,40,38,37,37,37,41,39,37
contig_33	1589	0	N	N	1	both	*	33
contig_48	290285	129	N	N	1	none	*	50,48,54,55,-56,55,-56,55,-71,54,55,-56,55
contig_53	33619	65	N	N	1	none	*	53,38,51,36,37,37,37,52,38,38,38,41,39,38,38,39,37,37,38,47,38,38,40,38,39,37,37,37,38,38,41,38,37,37,37,38,47,38,35,36,37
contig_67	2032	114	N	N	1	none	*	67
contig_2	678	28	N	Y	1	both	*	2
contig_13	940	53	N	Y	1	both	2	13
contig_14	4434	89	N	Y	1	both	2	14
contig_17	26090	3	N	Y	1	none	*	17
contig_24	5640	52	N	Y	1	both	4	24
contig_25	2016	78	N	Y	1	both	4	25
contig_30	3019	324	Y	Y	2	none	*	30
contig_34	1743	712	Y	Y	5	none	*	34
contig_44	583	634	N	Y	4	none	*	44
contig_45	568	990	N	Y	7	none	*	45
contig_46	2070	67	N	Y	1	none	*	46
contig_49	556	286	N	Y	2	none	*	49
contig_58	26041	5	N	Y	1	none	*	58
contig_59	1879	335	Y	Y	2	none	*	59
contig_60	2225	92	N	Y	1	both	6	60
contig_61	2249	14	N	Y	1	both	6	61
contig_63	3027	111	N	Y	1	both	8	63
contig_64	2212	30	N	Y	1	both	8	64
contig_65	7267	268	Y	Y	2	none	*	65
contig_68	3199	36	N	Y	1	both	*	68
