#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_7	2672911	167	N	N	1	*	7,-62,-62,-62,-23,19,15,22,21,20,18,19,15,22,21,20
contig_8	1992448	167	N	N	1	*	-22,-15,-19,23,62,62,62,62,62,62,62,8,-69
contig_5	1729116	169	N	N	1	*	*,1,1,70,1,1,1,1,70,1,1,1,70,1,1,1,1,1,1,1,1,1,1,1,1,1,70,1,1,1,1,70,1,1,1,5,66
contig_6	1551782	172	N	N	1	*	*,1,1,70,1,1,1,1,1,70,1,1,1,1,70,1,1,1,1,3,6,-57,55,-56,55,-56,55,58
contig_10	1157420	166	N	N	1	*	10,19,15,15,22,21,16,19,15,22,16,19,15,22,16,19,15,22,21,20,18,19,15,22,21,20,18,19
contig_9	891201	167	N	N	1	*	-27,9,32,32,32,32
contig_31	567042	168	N	N	1	*	31,35,36,39,37,38,35,36,37,37,37,39,37,37,38,40,38,37,37,37,37,38,41,39,42,39,37,43,37,37,37,38,38,37,41,38,37,37,37,38,37,38,39,37,51,37,38,40,38,37,37,37,41,39,37
contig_4	342250	128	N	N	1	*	*,70,1,1,1,3,4
contig_48	296898	152	N	N	1	*	50,48,54,55,-56,55,-56,55,-71,54,55,-56,55
contig_28	181541	171	N	N	1	*	-27,28,66
contig_11	96841	150	N	N	1	*	*,11,*
contig_53	33526	119	N	N	1	*	53,38,51,36,37,37,37,52,38,38,38,41,39,38,38,39,37,37,38,47,38,38,40,38,39,37,37,37,38,38,41,38,37,37,37,38,47,38,35,36,37
contig_58	28435	707	N	Y	117	*	58
contig_17	28075	545	N	Y	136	*	17
contig_65	7339	128	Y	Y	1	*	65
contig_12	3237	81	N	N	81	*	*,12,*
contig_68	3235	46	N	Y	1	*	*,68,*
contig_63	3092	58	N	Y	1	8	*,63,*
contig_30	3066	79	Y	Y	1	*	30
contig_46	2101	219	N	Y	3	*	46
contig_67	2045	134	N	N	1	*	67
contig_59	1897	58	Y	Y	1	*	59
contig_34	1827	54	Y	Y	1	*	34
contig_29	1760	103	N	N	1	*	29
