#seq_name	length	coverage
contig_4	342250	128
contig_7	2672911	167
contig_6	1551782	172
contig_5	1729116	169
contig_11	96841	150
contig_12	3237	81
contig_26	14323	27
contig_28	181541	171
contig_29	1760	103
contig_9	891201	167
contig_48	296898	152
contig_33	1593	5
contig_53	33526	119
contig_67	2045	134
contig_14	4595	25
contig_13	922	2
contig_31	567042	168
contig_24	5749	11
contig_30	3066	79
contig_25	2010	5
contig_46	2101	219
contig_45	508	16
contig_44	513	3
contig_34	1827	54
contig_17	28075	545
contig_49	439	5
contig_59	1897	58
contig_63	3092	58
contig_61	360	0
contig_60	2230	5
contig_65	7339	128
contig_64	1734	6
contig_68	3235	46
contig_10	1157420	166
contig_58	28435	707
contig_8	1992448	167
